Names,Storage,Prices,Conditions,Cities,Areas
Laptop Acer Chromebook 11 4GB Intel SSD,16,800,Used,Ashanti,Kumasi Metropolitan
Sandisk SSD 2tb External,Hard,3000,Brand New,Greater Accra,Adabraka
Laptop HP 8GB Intel Core i7,HDD,2500,Unknown,Greater Accra,Accra Metropolitan
New Laptop HP EliteBook 830 G7 16GB Intel Core I5,SSD,6700,Brand New,Ashanti,Kumasi Metropolitan
Laptop HP X2 210 G2 4GB Intel,SSD,1450,Used,Ashanti,Kumasi Metropolitan
Laptop Lenovo 24GB AMD Ryzen 7,HDD+SSD,13000,Used,Ashanti,Offinso Municipal
Desktop Computer 12GB Intel Core I7,HDD,4000,Used,Greater Accra,Dansoman
Nokia 7 N7 2017 TA-1041 LCD Display,Touch,260,Brand New,Greater Accra,Haatso
Laptop Dell Inspiron 5565 4GB Intel Core I3,HDD,1800,Used,Greater Accra,Lapaz
Tp Link Wireless Dual Band Router Ac1200,Archer,650,Unknown,Greater Accra,Madina
Promate Tweeter-9 Universal Digital Dynamic,Vocal,160,Brand New,Greater Accra,Accra Metropolitan
Lenovo ThinkCentre M710 Tiny 8GB Intel Core I5,SSD,3900,Used,Greater Accra,Accra Metropolitan
Laptop Samsung Ativ 3GB Intel,HDD,900,Used,Greater Accra,Circle
Laptop HP EliteBook 1040 G3 8GB Intel Core I5,SSD,3900,Unknown,Ashanti,Kumasi Metropolitan
Trust Gaming GXT 108 Rava,Gaming,310,Brand New,Greater Accra,Ga West Municipal
Laptop Dell Latitude E7450 8GB Intel Core I7,SSD,2800,Used,Ashanti,Kumasi Metropolitan
New Desktop Computer HP 4GB Intel Celeron,SSD,7500,Brand New,Greater Accra,Accra Metropolitan
Roland Xv 5050 Sound,Module,3000,Used,Ashanti,Kumasi Metropolitan
Laptop Dell Inspiron 7566 16GB Intel Core I7,SSD,5200,Used,Greater Accra,Accra Metropolitan
Laptop HP Pavilion 15 8GB Intel Core I5,HDD,4500,Used,Greater Accra,Madina
The Adjustable Laptop Stand,With,300,Brand New,Greater Accra,Accra Metropolitan
Laptop HP Compaq NW9440 3GB Intel Core 2 Duo,HDD,500,Used,Greater Accra,Kokomlemle
New Gigabyte GA-H110MSTX-HD3-ZK 8GB Intel Core I7,SSD,4850,Brand New,Greater Accra,Accra Metropolitan
32gb Ddr5,Laptop,1800,Brand New,Greater Accra,Madina
Laptop Dell Latitude 7400 16GB Intel Core I7,SSD,6200,Used,Greater Accra,Kokomlemle
Laptop Dell Latitude 7420 16GB Intel Core I7,SSD,8500,Used,Greater Accra,Accra Metropolitan
Laptop HP EliteBook 1030 8GB Intel Core I5,SSD,4300,Used,Greater Accra,Tema Metropolitan
Laptop Dell Latitude E5430 4GB Intel Celeron,HDD,950,Used,Greater Accra,Circle
SUPCASE for Macbook Air/Pro Case 2023 Release,for,650,Brand New,Greater Accra,Accra Metropolitan
Laptop HP ProBook 450 G3 8GB Intel Core I5,HDD,2600,Used,Greater Accra,Adenta
Laptop Dell Latitude E7450 8GB Intel Core I5,HDD,1250,Used,Greater Accra,Ga South Municipal
Logitech C920S Pro HD Webcam Full HD 1080p Video,Calling,1550,Brand New,Greater Accra,Kokomlemle
Laptop HP EliteBook 1040 G3 8GB Intel Core I5,HDD,1950,Used,Ashanti,Kumasi Metropolitan
Foldable Laptop Desk / Portable,Laptop,140,Brand New,Ashanti,Kumasi Metropolitan
Laptop Dell Latitude E5430 12GB Intel Core I3,HDD+SSD,1100,Used,Greater Accra,Circle
Laptop Stickers,for,35,Brand New,Greater Accra,Airport Residential Area
Laptop Dell Latitude 5289 8GB Intel Core I5 SSHD,(Hybrid),3300,Used,Greater Accra,Darkuman
Foldable,Computer,120,Brand New,Greater Accra,Dzorwulu
Laptop Dell Precision 15 5540 32GB Intel Core I7,SSD,8800,Used,Greater Accra,Kokomlemle
"Powerful Trust 2.1 Speakers PC,Laptop,TV,",Tablet,1100,Used,Ashanti,Kumasi Metropolitan
Laptop Dell Alienware X14 32GB Intel Core I7,SSD,25000,Used,Greater Accra,Tema Metropolitan
Laptop Dell Latitude E6440 8GB Intel Core I7,HDD,2500,Used,Greater Accra,Tema Metropolitan
New Laptop Lenovo ThinkBook 15 8GB Intel Core I5,SSD,6999,Brand New,Western Region,Shama Ahanta East Metropolitan
Laptop Dell Inspiron 15 3552 4GB Intel,SSD,1950,Used,Greater Accra,Accra Metropolitan
New Laptop HP Omen 15 16GB Intel Core I7,SSD,14000,Brand New,Greater Accra,Dansoman
Laptop Acer 4GB Intel Core I3,HDD,1350,Used,Greater Accra,Lapaz
Laptop Apple MacBook Pro 2012 8GB Intel Core I7,HDD,2000,Used,Greater Accra,Accra Metropolitan
New Laptop Apple MacBook Air 2020 M1 8GB Intel,SSD,13000,Brand New,Greater Accra,Kokomlemle
Laptop HP EliteBook 1040 G4 16GB Intel Core I7,SSD,6350,Used,Greater Accra,Adenta
Original Dell OG74G Battery for Latitude 5300,5310,400,Brand New,Greater Accra,Accra New Town
Laptop Lenovo IdeaPad 110S 4GB Intel Core 2 Duo,HDD,1600,Used,Greater Accra,Circle
Laptop Dell Latitude 5490 16GB Intel Core I5,SSD,3600,Used,Greater Accra,Tema Metropolitan
All Types of,Laptop,400,Brand New,Greater Accra,Dansoman
New Laptop Apple MacBook Pro 18GB Apple M3 Pro,SSD,42000,Brand New,Greater Accra,East Legon
New Original Deep Blue Men's Jeans Size,36,175,Unknown,Greater Accra,Accra Metropolitan
Lenovo USB,Laptop,120,Brand New,Greater Accra,Ashaiman Municipal
Laptop HP EliteBook 8440P 4GB Intel Core I5,SSD,1500,Used,Greater Accra,Adenta
Laptop Acer Aspire E5-573t 8GB Intel Pentium,HDD,1750,Used,Greater Accra,Circle
Laptop HP 250 G7 8GB Intel Core I5,SSD,3000,Used,Central Region,Gomoa West
New Laptop HP Omen 16 16GB Intel Core I7,SSD,17500,Brand New,Greater Accra,East Legon
Laptop Lenovo ThinkPad X220 8GB Intel Core I5,HDD,1400,Used,Greater Accra,Nungua
Laptop Lenovo ThinkPad Yoga 370 16GB Intel Core I5,SSD,340083700,Used,Greater Accra,Kokomlemle
Laptop Lenovo ThinkPad T460 8GB Intel Core I5,SSD,2700,Used,Greater Accra,Madina
Desktop Computer Apple iMac 16GB Intel Core I7,SSD,9200,Unknown,Greater Accra,Achimota
Desktop Computer Apple iMac 16GB Intel Core I5,HDD,5000,Used,Greater Accra,Adenta
Powerful Dell Big Pin Small Head,Laptop,60,Brand New,Greater Accra,Ashaiman Municipal
Energy CostSaving Samsung 50” 50AU7172 Ultra LED,Smart,6999,Unknown,Greater Accra,Adabraka
Laptop HP ProBook 450 G3 8GB Intel Core I7,SSD,3200,Used,Greater Accra,Adenta
New Laptop HP Victus 15 8GB Intel Core I5,SSD,12500,Brand New,Greater Accra,Kokomlemle
Laptop Dell Latitude 3580 8GB Intel Core I7,HDD,3200,Used,Greater Accra,East Legon
Logitech H340,Headset,500,Brand New,Greater Accra,Madina
Laptop Apple MacBook 2016 16GB Intel Core I7,SSD,7500,Used,Greater Accra,East Legon
GLS Case for Pioneer DDJ DJ Controller W/ 1 Unit,Bottom,1199,Brand New,Greater Accra,Accra Metropolitan
Laptop Apple MacBook Air 2015 4GB Intel Core I5,SSD,3350,Used,Greater Accra,Kokomlemle
New Desktop Computer Apple Mac Studio M2 Max 32GB Apple M2,SSD,23500,Brand New,Greater Accra,Dzorwulu
Laptop Dell Inspiron 15 4GB Intel Core I3,HDD,1850,Used,Greater Accra,Tantra Hills
Metal Laptop Stands Available,Very,199,Brand New,Greater Accra,Adabraka
Laptop Dell Latitude 5580 8GB Intel Core I5,SSD,3700,Used,Ashanti,Kumasi Metropolitan
Original HP 200W 19.5V 10.3A 7.4X5.0 Big Pin,Power,500,Brand New,Greater Accra,East Legon
HP M10 Wired,USB,35,Brand New,Greater Accra,Kaneshie
"Laptop Bag, School Bag and African Print",Ladies,200,Unknown,Greater Accra,Accra Metropolitan
New Laptop Microsoft Surface Go 3 8GB Intel Core I3,SSD,3850,Brand New,Greater Accra,Adenta
Promate Clix,3,100,Brand New,Greater Accra,Accra Metropolitan
Hp,Laptop,2300,Used,Greater Accra,Dansoman
New Laptop HP 8GB Intel Core I7,SSD,13584,Brand New,Greater Accra,Spintex
Laptop Dell Latitude 7390 8GB Intel Core I7,SSD,3800,Used,Greater Accra,Ablekuma
M.2 Pcie Nvme,SSD,1200,Brand New,Greater Accra,Accra Metropolitan
Desktop Computer HP ProDesk 400 8GB Intel Core I5,HDD,1250,Used,Greater Accra,Kokomlemle
Laptop Dell 8GB Intel Core I7,SSD,2850,Used,Greater Accra,Accra Metropolitan
"Hstnn-Db31, Hstnn-W20c, DV2000,",Laptop,200,Brand New,Greater Accra,Circle
Laptop Dell 4GB Intel,HDD,1400,Used,Greater Accra,Tema Metropolitan
New Desktop Computer HP 290 G4 All-in-One 4GB Intel Core I3,HDD,7500,Brand New,Greater Accra,Adabraka
Asus Motherboard With I5 4th Gen Processor,/,800,Used,Ashanti,Kumasi Metropolitan
Business Style Laptop Bag 15.6 14 13.3,Inches,650,Brand New,Greater Accra,Accra Metropolitan
Laptop Dell Latitude 12 E7270 8GB Intel Core I5,SSD,2500,Used,Ashanti,Kumasi Metropolitan
Laptop Dell Latitude 7480 8GB Intel Core I5,SSD,3050,Used,Greater Accra,Accra Metropolitan
Laptop HP ProBook 6560B 4GB Intel Core I7,HDD+SSD,2500,Used,Greater Accra,Circle
New Laptop Lenovo Thinkpad X1 Yoga 8GB Intel Core I5,SSD,4950,Brand New,Ashanti,Kumasi Metropolitan
Desktop Computer Dell OptiPlex 5050 8GB Intel Core I5,HDD,3100,Used,Greater Accra,Madina
Toshiba 15V,Laptop,70,Brand New,Greater Accra,Madina
Laptop Acer NITRO 5 16GB Intel Core I7,SSD,11500,Used,Greater Accra,Circle
Laptop Lenovo N22 Chromebook 4GB Intel SSHD (Hybrid),16,650,Used,Greater Accra,Awoshie
New Laptop Microsoft Surface Laptop 5 8GB Intel Core I7,SSD,12000,Brand New,Greater Accra,Accra Metropolitan
Laptop HP 250 G6 8GB Intel Core I5,SSD,3200,Used,Greater Accra,Adabraka
Desktop Computer Dell OptiPlex 5060 8GB Intel Core I5,HDD,2150,Used,Greater Accra,Kasoa
Laptop Microsoft Surface Pro 8GB Intel Core I5,SSD,2200,Used,Greater Accra,East Legon
Laptop Lenovo Ideapad 3 4GB Intel Celeron,SSD,1400,Used,Greater Accra,Kokomlemle
Laptop HP 255 4GB Intel Celeron,HDD,1500,Used,Greater Accra,Kokomlemle
Desktop Computer Dell 8GB Intel Core I5,HDD,1850,Used,Greater Accra,Kasoa
New Laptop Apple MacBook Air 2024 M3 13-Inch 8GB Apple M3,SSD,16500,Brand New,Greater Accra,East Legon
Laptop HP EliteBook 745 G2 8GB AMD A8,SSD,2450,Used,Greater Accra,Tema Metropolitan
Laptop HP EliteBook 1040 G6 16GB Intel Core I7,SSD,6600,Used,Greater Accra,Kokomlemle
New Laptop Dell Latitude E7470 8GB Intel Core I5,SSD,3350,Brand New,Greater Accra,Accra Metropolitan
New Desktop Computer 64GB Intel Core I9,SSD,63000,Brand New,Greater Accra,Dansoman
Laptop Lenovo 20GB Intel Core I7,SSD,6000,Used,Greater Accra,Accra Metropolitan
Original Apple Battery A2113/A2141 for 16,Inch,850,Brand New,Greater Accra,Accra New Town
New Laptop 8GB,HDD+SSD,12499,Brand New,Greater Accra,Accra Metropolitan
Laptop HP EliteBook Folio 8GB Intel Core I5,SSD,3000,Used,Greater Accra,Accra Metropolitan
Laptop Dell Inspiron 3542 8GB Intel Core I3,SSD,1700,Used,Greater Accra,Circle
CQ62,Laptop,200,Brand New,Greater Accra,Circle
New Foldable,Laptop,99,Brand New,Greater Accra,Ga West Municipal
6 in 1 Type-C to Tf/Memory,Card,380,Brand New,Greater Accra,Spintex
Laptop Lenovo ThinkPad L380 8GB Intel Core I5,SSD,3950,Used,Ashanti,Kumasi Metropolitan
New Laptop Lenovo ThinkPad T14 G3 16GB Intel Core i7,SSD,19500,Brand New,Greater Accra,Spintex
Laptop Geo Geobook 1E 4GB Intel Celeron SSHD,(Hybrid),1300,Used,Ashanti,Kumasi Metropolitan
New Desktop Computer MSI Gaming 24GE 2QE 4K 64GB Intel Core I5,SSD,14200,Brand New,Greater Accra,Tema Metropolitan
New Laptop HP Stream Notebook 12GB Intel Core I5,SSD,11500,Brand New,Greater Accra,Accra Metropolitan
Laptop Dell G15 5511 16GB Intel Core I7,SSD,11000,Used,Greater Accra,Adenta
Laptop Lenovo ThinkPad E580 8GB Intel Core I7,SSD,3650,Used,Greater Accra,Adenta
Shop Awesome Samsung 75” Smart Crystal,UHD,17499,Unknown,Greater Accra,Adabraka
Laptop Apple MacBook Air 2018 16GB Intel Core I5,SSD,9000,Used,Greater Accra,Accra Metropolitan
New Desktop Computer Gigabyte GB-BACE-3010 32GB AMD,Ryzen,27600,Brand New,Greater Accra,Lapaz
Laptop Lenovo ThinkPad Yoga 8GB Intel Core I5,SSD,5700,Used,Greater Accra,Accra Metropolitan
New Laptop Dell Latitude 15 5580 16GB Intel Core I7,HDD,4850,Brand New,Greater Accra,Okponglo
8gb,DDR4,300,Used,Ashanti,Kumasi Metropolitan
Real Leather Laptop,Briefcase,420,Unknown,Greater Accra,Adabraka
Mount-it! TV Cart / Mobile TV Stand With,Rolling,850,Brand New,Greater Accra,Adabraka
"Fintie Bluetooth Keyboard Case for Tab a 8.4""",2020,750,Brand New,Greater Accra,Nii Boi Town
√π∆ Samsung 65 Inches 4K Smart,Digital,6500,Brand New,Greater Accra,Adabraka
Laptop LG Gram 15.6 16GB Intel Core I7,SSD,5500,Used,Greater Accra,Kokomlemle
Laptop HP ProBook 430 G3 8GB Intel Core I5,HDD+SSD,1890,Used,Greater Accra,Ablekuma
Lenovo L18L4P71 L18C4P71 Battery for X1 Carbon 7th,8th,500,Brand New,Greater Accra,Accra New Town
Laptop HP EliteBook 830 G6 8GB Intel Core I5,SSD,5100,Used,Greater Accra,Circle
Laptop Lenovo Ideapad 3 8GB Intel Core I5,HDD,2750,Used,Greater Accra,Adabraka
Laptop Apple MacBook Air 2017 8GB Intel Core I5,SSD,3500,Used,Ashanti,Kumasi Metropolitan
Laptop Apple MacBook Pro 2017 16GB Intel Core I7,HDD,8400,Used,Greater Accra,Tema Metropolitan
Laptop HP ProBook 430 G3 4GB Intel Core I3,HDD,1800,Unknown,Greater Accra,Circle
Laptop Dell Latitude 3580 8GB Intel Core I7,SSD,3600,Used,Greater Accra,Tema Metropolitan
Laptop Dell Latitude 3590 12GB Intel Core I7,SSD,4000,Used,Greater Accra,Tema Metropolitan
New Desktop Computer Acer Aspire XC-780 4GB Intel Core I3,HDD,1500,Brand New,Ashanti,Kumasi Metropolitan
Advertising Samsung 75 Smart Crystal,UHD,11899,Brand New,Greater Accra,Adabraka
Desktop Computer HP 280 G3 8GB Intel Core I3,HDD,1450,Used,Greater Accra,Kasoa
Luxury HP Officejet 202,Mobile,2999,Unknown,Greater Accra,Adabraka
New Laptop Acer Aspire 3 8GB Intel Core I3,SSD,4400,Brand New,Greater Accra,East Legon
Laptop Dell Latitude 5300 8GB Intel Core I5,SSD,4200,Used,Greater Accra,Accra Metropolitan
Laptop Asus K70IJ 3GB Intel Celeron,HDD,1000,Used,Greater Accra,Accra Metropolitan
4GB Desktop Hard,Drive,1600,Unknown,Greater Accra,Circle
Laptop Apple MacBook Pro 2023 M3 14-Inch 8GB Apple M3,SSD,18800,Used,Greater Accra,Accra Metropolitan
Protective Case for Macbook Pro 2019 16 Inches +,Logo,150,Brand New,Greater Accra,Adenta
Laptop,Hard,320,Brand New,Greater Accra,Haatso
New Desktop Computer HP 200 G4 4GB Intel Core I3,HDD,6700,Brand New,Greater Accra,Madina
Laptop Lenovo G50-70 8GB Intel Core I5,HDD,2000,Used,Ashanti,Kumasi Metropolitan
Desktop Computer 8GB Intel Core I5,HDD,1350,Used,Greater Accra,Dansoman
Laptop HP Pavilion 15 8GB Intel Core I5,HDD,3600,Used,Greater Accra,Accra Metropolitan
RGB Mousepad,Unknown,250,Brand New,Greater Accra,Spintex
Laptop Asus A72F 4GB Intel Core I7,HDD,1500,Used,Greater Accra,Lapaz
New Laptop Lenovo Thinkpad X1 Yoga 16GB Intel Core I7,SSD,27900,Brand New,Greater Accra,Accra Metropolitan
Laptop Acer TravelMate P245 M 4GB Intel Core I3,SSD,1799,Used,Central Region,Cape Coast Metropolitan
Universal Mifi for,All,360,Unknown,Greater Accra,Adabraka
Backpack for School/Laptop/Traveling ETC Bag for,Men,250,Unknown,Greater Accra,Kokomlemle
Hp Laptop,Battery,500,Brand New,Greater Accra,Circle
Laptop Toshiba Portege R705 8GB Intel Core I7,SSD,3000,Used,Greater Accra,Adenta
Laptop Battery Replacement for Acer Aspire 4250,4253,300,Brand New,Greater Accra,Haatso
15.6” 30 Pin Short Connector Slim,Laptop,550,Brand New,Greater Accra,Accra New Town
Laptop HP 14z 4GB Intel Celeron,HDD,1450,Used,Greater Accra,Accra Metropolitan
New Desktop Computer Asus ROG Strix GL12 16GB Intel Core I7,SSD,13500,Brand New,Ashanti,Kumasi Metropolitan
Laptop HP EliteBook 745 G5 8GB AMD Ryzen 5,SSD,3999,Used,Greater Accra,Adenta
"High Sierra Freewheel Wheeled Laptop Backpack,",True,550,Unknown,Greater Accra,Airport Residential Area
New Laptop Lenovo 4GB Intel,SSD,3450,Brand New,Greater Accra,Mamprobi
New Desktop Computer MSI Aegis RS 12tj-282us 32GB Intel Core I7,SSD,22600,Brand New,Greater Accra,Accra Metropolitan
Desktop Computer Dell Precision 3000 16GB Intel Core I7,HDD,1950,Used,Greater Accra,Dansoman
Laptop Dell Latitude E5430 4GB Intel Core I5,HDD+SSD,1350,Used,Greater Accra,Madina
New Laptop HP Envy 15 16GB Intel Core I7,SSD,13999,Brand New,Greater Accra,Nungua
Desktop Computer Dell OptiPlex 5060 8GB Intel Core I5,HDD+SSD,3000,Used,Greater Accra,Accra Metropolitan
Acer Laptop,Battery,250,Brand New,Greater Accra,Circle
Laptop HP Pavilion 15 8GB Intel Core I3,SSD,3199,Used,Western Region,Takoradi
Desktop Computer Dell OptiPlex 7060 12GB Intel Core I7,HDD+SSD,2250,Used,Greater Accra,Kasoa
New Asano,32,1149,Unknown,Greater Accra,Kaneshie
New Desktop Computer Gigabyte GB-BKi5HA-7200 96GB Intel Core I9,SSD,36000,Brand New,Greater Accra,Darkuman
Heatz,Bluetooth/Wireless,190,Brand New,Greater Accra,Dome
Laptop HP 15-Ra003nia 8GB Intel Core I3,HDD,1800,Unknown,Greater Accra,Kokomlemle
New Laptop MSI GF63 16GB Intel Core I5,SSD,11500,Brand New,Greater Accra,Ga East Municipal
Quality Multipurpose Backpacks With,Different,200,Unknown,Greater Accra,Accra Metropolitan
Laptop Dell Latitude 6430u 2GB Intel Core 2 Duo,HDD,350,Unknown,Greater Accra,Kokomlemle
New Desktop Computer HP 8GB Intel Core I7,SSD,10960,Brand New,Western Region,Tarkwa Nsuaem
Foldable Adjustable Stand Holder,for,65,Brand New,Greater Accra,Dansoman
Modern Samsung 75 Smart Crystal UHD,4K,17999,Unknown,Greater Accra,Adabraka
Laptop HP EliteBook 840 G6 16GB Intel Core I5,SSD,3880,Used,Greater Accra,Lapaz
Portable M.2 SSD Enclosure USB,3.1,180,Brand New,Greater Accra,Achimota
Laptop Lenovo ThinkPad E14 Gen 4 8GB AMD Ryzen 5,SSD,2550,Used,Greater Accra,Circle
Laptop Asus 4GB Intel Core I3,HDD,1450,Used,Central Region,Cape Coast Metropolitan
USB,PC,110,Brand New,Greater Accra,Accra New Town
Laptop Apple MacBook Pro 2012 4GB Intel Core I5,HDD+SSD,3000,Used,Greater Accra,Circle
Premium Quality Faux,Leather,450,Unknown,Greater Accra,Accra Metropolitan
Desktop Computer Apple iMac 32GB Intel Core I5,HDD,3100,Used,Greater Accra,Tema Metropolitan
Laptop Acer Aspire 4820TG 8GB Intel Core I7,HDD,1800,Used,Greater Accra,Adenta
Laptop Dell XPS 13 8GB Intel Core I7,SSD,5200,Unknown,Greater Accra,Dansoman
Laptop Lenovo V130 8GB Intel Core I5,SSD,3500,Used,Ashanti,Kumasi Metropolitan
Laptop Bag,Unknown,120,Unknown,Greater Accra,Accra Metropolitan
Logitech G308 Gaming Mouse (,Wireless,135,Brand New,Greater Accra,East Legon
New Laptop HP 14-Dq2031tg 8GB Intel Core I3,SSD,4450,Brand New,Ashanti,Kumasi Metropolitan
New Desktop Computer 32GB Intel Core I7,SSD,16599,Brand New,Greater Accra,Apenkwa
Laptop HP 8GB Intel Core I5,HDD,1400,Used,Central Region,Gomoa East
Ddr4,4G,250,Brand New,Greater Accra,Circle
New Laptop HP Envy 15 16GB Intel Core i5,SSD,13500,Brand New,Greater Accra,Sowutwuom
New Laptop Microsoft Surface Laptop 4 8GB AMD Ryzen,SSD,11999,Brand New,Greater Accra,Achimota
Laptop HP ProBook 450 G5 8GB Intel Core I5,SSD,4200,Used,Greater Accra,Tema Metropolitan
Desktop Computer Dell OptiPlex 9020 8GB Intel Core I5,HDD,850,Used,Greater Accra,Kasoa
Server Lenovo 12GB Intel Core I5,HDD,1900,Used,Greater Accra,Kasoa
New Laptop Lenovo ThinkPad T14 16GB Intel Core I7,SSHD+SSD,14999,Brand New,Greater Accra,Accra Metropolitan
Display Port,to,45,Brand New,Greater Accra,Circle
Type C 8 in,1,195,Brand New,Greater Accra,Circle
New Laptop MSI Raider GE76 12UGS 16GB Intel Core I7,SSD,28500,Brand New,Greater Accra,Kaneshie
Desktop Computer HP 8GB AMD A10,HDD,1500,Used,Greater Accra,Ablekuma
Quality Waterproof Multi Purpose Laptop or,Work,200,Unknown,Greater Accra,Accra Metropolitan
Buy 100% Cotton Affordable Men's Boxer Shorts,for,27,Unknown,Greater Accra,Madina
New Laptop Acer Apsire M3 581TG 8GB Intel Core I5,SSD,10000,Brand New,Greater Accra,Osu
Laptop HP Pavilion 14 16GB Intel Core I5,SSD,2800,Unknown,Greater Accra,Achimota
New Desktop Computer Asus ROG Strix GL12 16GB AMD Ryzen,SSD,14000,Brand New,Greater Accra,Kasoa
Laptop Apple MacBook Air 2020 8GB Intel Core I3,SSD,8000,Used,Greater Accra,Circle
Laptop Apple MacBook Pro 2011 8GB Intel Core I7,HDD+SSD,1550,Used,Greater Accra,Odorkor
New Laptop Asus Q405UA 16GB Intel Core I7,SSD,11500,Brand New,Greater Accra,Kokomlemle
Laptop Apple MacBook Pro 2019 16GB Intel Core I9,SSD,13500,Used,Ashanti,Kumasi Metropolitan
New Laptop Dell Inspiron 15 5000 12GB Intel Core I7,SSD,3700,Brand New,Ashanti,Kumasi Metropolitan
Laptop Lenovo ThinkPad T470s 16GB Intel Core I5,SSD,4300,Used,Greater Accra,Lapaz
"Adjustable Laptop Stand (Plastic): Black, White",and,40,Unknown,Greater Accra,Weija
Laptop LG Gram 15.6 16GB Intel Core I7,SSD,13000,Used,Greater Accra,Dansoman
Acer Laptop,Battery,350,Brand New,Greater Accra,Circle
Laptop Lenovo ThinkPad T450 8GB Intel Core I5,HDD,1850,Used,Greater Accra,Ashomang Estate
DELL,Wireless,60,Brand New,Greater Accra,Dansoman
Quality Multipurpose Waterproof School or,Laptop,150,Unknown,Greater Accra,Accra Metropolitan
HDMI (Male) to VGA,(Female),50,Brand New,Greater Accra,Madina
Good and Quality Officejet 202 Hp,Mobile,2999,Unknown,Greater Accra,Adabraka
Shoulder Bag And,Side,220,Unknown,Greater Accra,Alajo
New Laptop HP Pavilion 15 8GB Intel Core I5,SSD,11000,Brand New,Greater Accra,Osu
Original Lenovo L15C3PB1 Laptop Battery for,Ideapad,370,Brand New,Greater Accra,Accra New Town
New Desktop Computer Asus TUF Gaming FX10CP 32GB AMD,Ryzen,25000,Brand New,Greater Accra,East Legon
Promate BIRGER 15.6′′ Casual,Laptop,240,Unknown,Greater Accra,Accra Metropolitan
New Desktop Computer Gigabyte GB-BACE-3160 64GB Intel Core I9,SSD,39000,Brand New,Greater Accra,Darkuman
New Laptop Samsung Galaxy Book 2 4GB,SSD,5000,Brand New,Ashanti,Kumasi Metropolitan
Laptop HP Envy 15 16GB Intel Core I7,SSD,8000,Used,Greater Accra,Kokomlemle
Latest Quality Samsung 75 Smart Crystal,UHD,17999,Unknown,Greater Accra,Adabraka
Laptop Lenovo ThinkPad E431 6GB Intel Core I3,HDD,1350,Used,Greater Accra,Kasoa
New Desktop Computer 4GB Intel Core I3,SSD,3500,Brand New,Greater Accra,Achimota
Promate BIZPACK-TR High Volume Heavy Duty,Trolley,650,Brand New,Greater Accra,Accra Metropolitan
Internal Hard,Drive,250,Brand New,Greater Accra,Circle
CyberpowerPC Gaming PC Master 9500 8GB Intel Core I5,HDD,1000,Used,Ashanti,Kumasi Metropolitan
Desktop Computer Dell Precision 5820 32GB Intel Xeon,HDD+SSD,7550,Used,Greater Accra,Kwashieman
Logitech C270 HD Webcam With Noise-reducing Mics For,Video,330,Brand New,Greater Accra,Kokomlemle
Laptop HP ProBook 11 G2 EE 8GB Intel Core I5,SSD,4500,Used,Greater Accra,Madina
Acer Gaming,Charger,400,Brand New,Greater Accra,East Legon
Laptop Cooling Fan,and,135,Brand New,Greater Accra,Circle
Laptop Lenovo V15-Iil 4GB Intel Core I3,HDD,2200,Used,Greater Accra,Accra Metropolitan
Desktop Computer HP 4GB Intel Core I3,HDD,600,Used,Greater Accra,Accra Metropolitan
Original USB 5.0,Bluetooth,40,Brand New,Greater Accra,Ashaiman Municipal
New Laptop Dell G16 7620 16GB Intel Core I7,SSD,12199,Brand New,Greater Accra,Achimota
Laptop HP 15-Dw0037wm 8GB Intel Core I5,HDD,3800,Used,Greater Accra,Kokomlemle
New Laptop Lenovo IdeaPad 520 12GB Intel Core I7,SSD,10000,Brand New,Greater Accra,East Legon
Rechargeable Wireless,Silent,85,Brand New,Greater Accra,Accra Metropolitan
Tp-Link (TL-WN725N) 150mbps Wireless N,Nano,120,Brand New,Greater Accra,Gbawe
Laptop HP Omen 15 16GB Intel Core I7,SSD,10000,Used,Ashanti,Kumasi Metropolitan
New Laptop Dell XPS 13 9310 8GB Intel Core I5,SSD,11000,Brand New,Greater Accra,Circle
Original Msi 180W Gaming,Laptop,500,Brand New,Greater Accra,East Legon
Laptop Apple MacBook Air 4GB Intel Core I5,SSD,1950,Used,Greater Accra,Spintex
Desktop Computer Dell OptiPlex 3070 12GB Intel Core I5,SSD,4500,Used,Greater Accra,Kokomlemle
New Laptop Dell Latitude 14 7414 16GB AMD Ryzen 5,SSD,6000,Brand New,Greater Accra,Accra Metropolitan
New Desktop Computer 16GB Intel Core I7,HDD+SSD,8500,Brand New,Greater Accra,Accra Metropolitan
Laptop Acer Nitro 5 16GB Intel Core I5,HDD+SSD,7300,Used,Ashanti,Kumasi Metropolitan
Metal Foldable Adjustable Stand Holder For,Laptop,80,Brand New,Greater Accra,East Legon
Laptop HP EliteBook 840 G7 16GB Intel Core I7,SSD,6800,Used,Greater Accra,Tema Metropolitan
HDMI to VGA + Audio,Converter,160,Brand New,Greater Accra,Circle
Desktop Computer Apple iMac 8GB Intel Core I5,SSD,9700,Used,Greater Accra,Accra Metropolitan
New Laptop Lenovo ThinkPad T470s 8GB Intel Core I5,SSD,2650,Brand New,Ashanti,Kumasi Metropolitan
New Type C to,HDMI,149,Brand New,Greater Accra,Adenta
New Desktop Computer MSI Model 64GB Intel Core I9,SSD,35000,Brand New,Greater Accra,Accra Metropolitan
Laptop Dell Precision 5510 8GB Intel Core I5,SSD,5100,Used,Greater Accra,Accra Metropolitan
New Desktop Computer MSI Gaming 24GE 2QE 4K 64GB AMD,Ryzen,28700,Brand New,Greater Accra,Kaneshie
